"Time","ZX_RPM","ZX_TPS","ZX_GEAR","LCC_AFR"
0.000,12627.000000,3.772000,6.000000,15.735321
0.100,12403.879883,2.716000,6.000000,16.100960
0.200,12146.450195,2.110000,5.850000,16.711552
0.300,11087.900391,8.690001,5.000000,15.999552
0.400,11192.599609,0.700000,5.000000,14.873651
0.500,11495.440430,0.812000,5.000000,15.417401
0.600,11636.559570,3.796000,5.000000,15.280601
0.700,11393.099609,15.492000,4.860000,15.089101
0.800,10918.830078,0.700000,4.000000,12.941111
0.900,10830.110352,0.700000,4.000000,13.305631
1.000,10976.559570,2.936000,4.000000,14.528651
1.100,11596.719727,15.835999,3.880000,15.594161
1.200,10883.000000,0.700000,3.000000,12.535161
1.300,10278.679688,0.700000,3.000000,12.716401
1.400,10199.919922,0.700000,3.000000,13.838511
1.500,10176.759766,0.700000,3.000000,14.663871
1.600,10200.019531,0.700000,3.000000,17.072172
1.700,10279.490234,0.700000,3.000000,20.151852
1.800,10341.700195,0.700000,3.000000,22.498402
1.900,10394.299805,0.700000,3.000000,23.312000
2.000,10060.500000,0.700000,3.000000,23.312000
2.100,9844.500000,0.700000,3.000000,22.699551
2.200,9575.509766,0.700000,3.000000,16.551640
2.300,9124.320313,0.700000,3.000000,17.047550
2.400,8767.120117,0.700000,3.000000,17.379122
2.500,8339.240234,0.700000,3.000000,15.992161
2.600,8283.839844,0.700000,3.000000,15.726721
2.700,8131.120117,0.700000,3.000000,15.289810
2.800,7951.250000,0.700000,3.000000,15.168820
2.900,7826.529785,0.700000,3.000000,15.004901
3.000,7687.060059,0.700000,3.000000,14.987500
3.100,7269.919922,0.700000,3.000000,15.152000
3.200,7332.240234,0.700000,3.000000,15.131061
3.300,7096.100098,0.700000,3.000000,14.797900
3.400,7005.950195,0.700000,3.000000,14.692951
3.500,7048.899902,0.700000,3.000000,14.536401
3.600,6803.439941,0.700000,3.000000,14.468560
3.700,6882.560059,0.700000,3.000000,14.475600
3.800,6793.279785,0.700000,3.000000,14.320241
3.900,6628.850098,0.700000,3.000000,14.279321
4.000,6522.770020,0.700000,3.000000,14.321550
4.100,6384.950195,0.700000,3.000000,14.306131
4.200,6350.540039,0.700000,3.000000,14.278301
4.300,6326.979980,0.700000,3.000000,14.292420
4.400,6275.600098,0.700000,3.000000,14.262241
4.500,6206.839844,0.700000,3.000000,14.176291
4.600,6190.450195,0.700000,3.000000,14.205151
4.700,6135.959961,0.700000,3.000000,14.220580
4.800,6132.000000,0.700000,3.000000,14.278001
4.900,6128.000000,0.700000,3.000000,14.205001
