"Time","ZX_RPM","ZX_TPS","ZX_GEAR","LCC_AFR"
0.000,11540.599609,75.482002,4.000000,14.390190
0.100,11697.750000,53.650002,4.000000,13.899570
0.200,11568.570313,28.642000,4.000000,12.461390
0.300,11031.000000,3.076000,4.000000,11.539721
0.400,11030.799805,0.700000,4.000000,14.479230
0.500,11011.000000,0.700000,4.000000,14.205001
0.600,10933.000000,0.700000,4.000000,13.943001
0.700,10871.000000,0.700000,4.000000,14.642001
0.800,10562.000000,25.700001,3.000000,14.657001
0.900,11312.000000,0.000000,3.000000,12.734000
1.000,11046.000000,0.000000,3.000000,12.136001
1.100,11144.000000,0.000000,3.000000,13.404000
1.200,11031.000000,0.700000,3.000000,14.671000
1.300,11031.000000,32.479000,3.000000,16.878700
1.400,11309.190430,1.021000,2.010000,13.337991
1.500,10384.370117,0.700000,2.000000,12.811950
1.600,10300.750000,0.700000,2.000000,14.061331
1.700,10358.410156,0.700000,2.000000,15.040241
1.800,10343.160156,0.700000,2.000000,17.949711
1.900,10401.410156,0.700000,2.000000,21.296492
2.000,10375.269531,0.700000,2.000000,23.292181
2.100,10343.639648,0.700000,2.000000,23.312000
2.200,10332.219727,0.700000,2.000000,23.312000
2.300,10300.639648,0.700000,2.000000,23.312000
2.400,10177.500000,0.700000,2.000000,23.312000
2.500,10068.179688,0.700000,2.000000,23.312000
2.600,9832.759766,0.700000,2.000000,23.312000
2.700,9854.459961,0.700000,2.000000,23.312000
2.800,9548.259766,0.700000,2.000000,23.312000
2.900,9493.500000,0.700000,2.000000,23.312000
3.000,9423.129883,0.700000,2.000000,23.312000
3.100,9197.900391,0.700000,2.000000,23.312000
3.200,9020.280273,0.700000,2.000000,23.312000
3.300,8829.730469,0.700000,2.000000,23.312000
3.400,8752.219727,0.700000,2.000000,23.312000
3.500,8624.870117,0.700000,2.000000,15.609230
3.600,8366.860352,0.700000,2.000000,13.406751
3.700,8351.320313,0.700000,2.000000,14.353041
3.800,8201.240234,0.700000,2.000000,15.023801
3.900,8086.520020,0.700000,2.000000,15.694160
4.000,7958.160156,0.700000,2.000000,15.958120
4.100,7888.680176,0.700000,2.000000,15.897921
4.200,7878.319824,0.700000,2.000000,15.797081
4.300,7822.319824,0.700000,2.000000,15.695081
4.400,7741.279785,0.700000,2.000000,12.669881
4.500,7678.149902,0.700000,2.000000,14.648251
4.600,7645.549805,0.700000,2.000000,15.298600
4.700,7636.399902,0.700000,2.000000,15.742151
4.800,7584.700195,0.700000,2.000000,15.584451
4.900,7525.950195,1.460000,2.000000,15.339400
5.000,7544.850098,3.020000,2.000000,15.023001
5.100,7553.600098,6.805000,2.000000,14.175751
5.200,8055.600098,9.945001,2.000000,12.001151
5.300,7751.120117,11.604000,2.000000,11.874901
5.400,7737.520020,10.948001,2.000000,11.778120
5.500,7708.859863,10.148001,2.000000,12.114161
5.600,7761.520020,10.100000,2.000000,12.423640
5.700,7757.479980,8.596000,2.000000,12.633760
5.800,7793.660156,7.842000,2.000000,12.810501
5.900,7818.560059,7.800000,2.000000,12.958241
6.000,7882.040039,7.800000,2.000000,13.048780
6.100,7893.439941,8.451000,2.000000,13.243720
6.200,7894.000000,8.500000,2.000000,13.366811
6.300,7926.549805,8.500000,2.000000,13.361051
6.400,7983.870117,9.244000,2.000000,13.454861
6.500,8035.430176,8.556000,2.000000,13.245311
6.600,8085.500000,9.244000,2.000000,13.391750
6.700,8107.600098,9.300000,2.000000,13.552801
6.800,8181.540039,10.044001,2.000000,13.483090
6.900,8179.640137,9.364000,2.000000,13.409841
7.000,8204.759766,9.300000,2.000000,13.350640
