"Time","ZX_RPM","ZX_TPS","ZX_GEAR","LCC_AFR"
0.000,12990.400391,82.139999,4.000000,12.768400
0.100,12419.400391,14.140000,4.000000,12.815001
0.200,12112.599609,1.980000,4.000000,15.939001
0.300,12151.599609,0.700000,4.000000,15.697201
0.400,12030.599609,0.700000,4.000000,14.578401
0.500,11876.599609,0.700000,4.000000,14.059401
0.600,11651.500000,0.700000,4.000000,14.577910
0.700,11384.400391,0.700000,4.000000,15.522201
0.800,11075.559570,0.700000,4.000000,16.912720
0.900,10874.480469,4.709000,4.000000,19.026112
1.000,10659.769531,17.658001,4.000000,18.814501
1.100,10693.049805,0.000000,3.810000,13.101971
1.200,10257.150391,0.000000,3.000000,12.905890
1.300,10554.690430,0.000000,3.000000,13.952730
1.400,10887.259766,0.000000,3.000000,16.550911
1.500,11015.099609,4.142000,3.000000,21.305632
1.600,10674.070313,17.658001,2.810000,21.570650
1.700,10522.570313,0.000000,2.000000,13.922800
1.800,10051.599609,0.000000,2.000000,13.147901
1.900,10133.660156,0.000000,2.000000,14.750861
2.000,10258.599609,0.000000,2.000000,19.201342
2.100,10344.799805,0.000000,2.000000,23.312000
2.200,10470.419922,0.000000,2.000000,23.312000
2.300,10452.740234,0.000000,2.000000,23.312000
2.400,10512.660156,0.000000,2.000000,23.312000
2.500,10613.660156,0.000000,2.000000,23.312000
2.600,10564.879883,0.000000,2.000000,23.312000
2.700,10572.240234,0.000000,2.000000,23.312000
2.800,10530.519531,0.000000,2.000000,23.312000
2.900,10434.080078,0.000000,2.000000,23.312000
3.000,10311.410156,0.000000,2.000000,23.312000
3.100,10265.030273,0.000000,2.000000,23.312000
3.200,10120.799805,0.000000,2.000000,23.312000
3.300,9963.349609,0.000000,2.000000,23.312000
3.400,9804.580078,0.000000,2.000000,23.312000
3.500,9589.799805,0.000000,2.000000,23.312000
3.600,9428.950195,0.000000,2.000000,23.312000
3.700,9274.830078,0.000000,2.000000,23.312000
3.800,9171.790039,0.000000,2.000000,22.771910
3.900,9047.400391,0.000000,2.000000,19.523170
4.000,8868.080078,0.000000,2.000000,16.672340
4.100,8716.730469,0.000000,2.000000,17.375061
4.200,8673.559570,0.000000,2.000000,17.455841
4.300,8555.599609,0.000000,2.000000,16.862320
4.400,8406.440430,0.000000,2.000000,16.479000
4.500,8346.679688,0.000000,2.000000,16.320480
4.600,8319.519531,0.000000,2.000000,16.248320
4.700,8282.879883,0.000000,2.000000,16.163641
4.800,8205.360352,0.000000,2.000000,16.029320
4.900,8158.720215,0.112000,2.000000,15.951680
5.000,8135.040039,0.700000,2.000000,15.866001
5.100,8035.439941,1.084000,2.000000,15.814801
5.200,7982.560059,3.468000,2.000000,15.273200
5.300,7980.959961,5.400000,2.000000,13.640520
5.400,7918.350098,5.640000,2.000000,12.583651
5.500,8025.700195,7.120000,2.000000,12.587351
5.600,8085.600098,8.025001,2.000000,12.787450
5.700,7957.049805,9.420000,2.000000,13.011001
5.800,7984.649902,10.100000,2.000000,12.971551
5.900,8011.000000,10.100000,2.000000,12.765551
6.000,8019.250000,9.980000,2.000000,12.889001
6.100,8072.450195,9.300000,2.000000,13.027250
6.200,8111.399902,9.180000,2.000000,13.061750
6.300,8125.000000,8.395000,2.000000,13.198200
6.400,8138.350098,7.800000,2.000000,13.286051
6.500,8212.950195,7.800000,2.000000,13.392851
6.600,8210.780273,7.800000,2.000000,13.583060
6.700,8237.780273,8.010000,2.000000,13.589661
6.800,8269.820313,9.524000,2.000000,13.499400
6.900,8326.660156,10.900001,2.000000,13.606341
7.000,8343.000000,10.900001,2.000000,13.397700
7.100,8346.919922,10.788000,2.000000,13.270901
7.200,8368.200195,10.100000,2.000000,13.262060
7.300,8354.780273,10.100000,2.000000,13.305341
7.400,8378.000000,10.100000,2.000000,13.432281
7.500,8378.000000,10.100000,2.000000,13.518041
7.600,8381.919922,10.100000,2.000000,13.503901
7.700,8406.000000,10.324000,2.000000,13.491000
7.800,8413.540039,11.999000,2.000000,13.487230
7.900,8474.139648,14.208000,2.000000,13.361641
8.000,8554.740234,15.704000,2.000000,12.676741
8.100,8633.370117,16.490999,2.000000,12.572790
8.200,8608.889648,17.204000,2.000000,12.450201
8.300,8742.000000,17.900000,2.000000,12.354550
8.400,8747.070313,17.900000,2.000000,12.655491
8.500,8797.250000,17.900000,2.000000,12.719001
8.600,8897.809570,17.900000,2.000000,12.728491
8.700,8860.809570,17.900000,2.000000,12.786281
8.800,8975.969727,17.900000,2.000000,12.740460
8.900,8947.440430,17.900000,2.000000,12.701310
9.000,8946.360352,17.996000,2.000000,12.780601
9.100,9022.559570,18.796001,2.000000,12.803400
9.200,9094.320313,19.968000,2.000000,12.740280
9.300,9224.799805,23.591999,2.000000,12.478081
9.400,9318.040039,25.084000,2.000000,12.545721
9.500,9430.839844,25.700001,2.000000,12.706480
9.600,9514.759766,25.700001,2.000000,13.066161
9.700,9607.120117,25.892000,2.000000,13.275520
9.800,9677.799805,28.044001,2.000000,13.446000
9.900,9886.200195,33.692001,2.000000,13.844841
10.000,10040.080078,35.196003,2.000000,14.460361
10.100,10145.839844,36.464001,2.000000,14.108201
10.200,10233.509766,41.117001,2.000000,14.258571
10.300,10373.190430,46.245998,2.000000,14.363280
10.400,10489.650391,54.493999,2.000000,14.614470
10.500,10415.000000,59.993000,2.000000,15.244021
10.600,9602.790039,65.764999,2.110000,17.822151
10.700,8803.660156,67.705002,3.000000,13.507021
10.800,8900.089844,73.798996,3.000000,12.725310
10.900,8927.780273,84.105003,3.000000,12.999781
11.000,9029.190430,89.341003,3.000000,12.926600
11.100,9166.769531,91.934998,3.000000,13.105850
11.200,9352.320313,89.653999,3.000000,13.416760
11.300,9372.019531,81.141998,3.000000,13.507240
11.400,9459.400391,72.870003,3.000000,13.361700
11.500,9601.500000,59.880001,3.000000,12.949001
11.600,9725.400391,49.690002,3.000000,12.624600
11.700,9828.000000,39.350002,3.000000,12.237201
11.800,9820.500000,26.300001,3.000000,11.642200
11.900,9686.599609,9.240001,3.000000,11.106200
12.000,9116.400391,1.420000,3.000000,11.088500
12.100,9354.799805,0.700000,3.000000,13.080801
12.200,9276.700195,0.700000,3.000000,14.412601
12.300,9232.099609,0.700000,3.000000,14.906301
12.400,9163.400391,0.700000,3.000000,15.614301
12.500,9014.400391,0.700000,3.000000,15.975301
12.600,8934.209961,0.700000,3.000000,16.025249
12.700,8899.339844,0.700000,3.000000,15.837201
12.800,8820.030273,0.700000,3.000000,15.523681
12.900,8694.769531,0.700000,3.000000,15.284861
13.000,8642.099609,0.700000,3.000000,15.149390
13.100,8539.209961,0.700000,3.000000,15.125611
13.200,8502.540039,0.700000,3.000000,15.138950
13.300,8407.910156,0.700000,3.000000,15.029231
