"Time","ZX_RPM","ZX_TPS","ZX_GEAR","LCC_AFR"
0.000,12397.570313,0.700000,5.000000,14.194951
0.100,12353.200195,0.700000,5.000000,13.206410
0.200,12173.830078,0.700000,5.000000,13.849160
0.300,12057.219727,0.700000,5.000000,14.664870
0.400,11978.669922,0.700000,5.000000,15.453181
0.500,11844.419922,0.700000,5.000000,16.395222
0.600,11696.139648,0.716000,5.000000,18.066422
0.700,10609.360352,1.484000,4.980000,20.080921
0.800,9841.980469,0.700000,4.000000,14.587801
0.900,9803.019531,0.700000,4.000000,16.945740
1.000,10351.360352,0.700000,4.000000,17.702141
1.100,10764.120117,0.700000,4.000000,16.994982
1.200,10917.320313,0.700000,4.000000,18.055922
1.300,10929.879883,0.700000,4.000000,19.686781
1.400,10772.379883,0.700000,4.000000,20.576361
1.500,10543.419922,0.700000,4.000000,21.503962
1.600,10457.450195,0.700000,4.000000,22.435122
1.700,10369.000000,0.700000,4.000000,23.312000
1.800,10166.209961,0.700000,4.000000,23.312000
1.900,9888.330078,1.309000,3.970000,23.137581
2.000,10090.209961,20.391001,3.000000,17.352020
2.100,9993.309570,0.700000,3.000000,12.638991
2.200,9779.339844,0.700000,3.000000,12.890771
2.300,9848.910156,0.700000,3.000000,13.765971
2.400,9644.639648,0.700000,3.000000,15.168481
2.500,9460.959961,0.700000,3.000000,16.161480
2.600,9288.440430,0.700000,3.000000,13.880920
2.700,9195.000000,0.700000,3.000000,15.899680
2.800,9000.040039,0.700000,3.000000,16.002081
2.900,8920.240234,0.700000,3.000000,15.758201
3.000,8703.599609,0.700000,3.000000,15.613160
3.100,8543.120117,0.700000,3.000000,15.468921
3.200,8375.040039,0.700000,3.000000,15.361080
3.300,8296.519531,0.700000,3.000000,15.130001
3.400,8110.950195,0.700000,3.000000,15.283450
3.500,7987.950195,0.700000,3.000000,15.012801
3.600,7823.500000,1.170000,3.000000,15.108451
3.700,7636.850098,9.595000,2.950000,14.703051
3.800,8213.250000,0.000000,2.000000,12.218050
3.900,7680.100098,0.000000,2.000000,11.561251
4.000,7942.299805,0.035000,2.000000,11.768950
4.100,8195.950195,0.700000,2.000000,13.155551
4.200,8209.549805,0.700000,2.000000,14.271601
4.300,8117.680176,0.700000,2.000000,14.717561
4.400,7993.879883,0.700000,2.000000,14.987500
4.500,7840.439941,0.700000,2.000000,15.152000
4.600,7664.919922,0.700000,2.000000,15.152000
4.700,7502.560059,0.700000,2.000000,15.147620
