"Time","ZX_RPM","ZX_TPS","ZX_GEAR","LCC_AFR"
0.000,1394.000000,0.000000,1.000000,14.657001
0.100,1495.839966,0.700000,1.000000,14.730580
0.200,1488.930054,0.724000,1.000000,14.758131
0.300,1520.150024,1.500000,1.000000,14.728551
0.400,1542.280029,1.500000,1.000000,14.695891
0.500,1544.160034,1.500000,1.000000,14.618640
0.600,1530.400024,1.500000,1.000000,14.502300
0.700,1587.640015,1.500000,1.000000,14.409961
0.800,1528.800049,1.500000,1.000000,14.298881
0.900,1584.349976,1.380000,1.000000,14.242400
1.000,1555.959961,0.836000,1.000000,14.205001
1.100,1547.520020,1.348000,1.000000,14.205001
1.200,1551.599976,0.700000,1.000000,14.199201
1.300,1533.420044,0.546000,1.000000,14.182381
1.400,1487.160034,0.000000,1.000000,14.222521
1.500,1434.000000,0.000000,1.000000,14.281751
1.600,1415.550049,0.000000,1.000000,14.304610
1.700,1385.650024,0.203000,1.000000,14.348761
1.800,1375.000000,0.700000,1.000000,14.397981
1.900,1367.319946,0.700000,1.000000,14.475441
2.000,1343.180054,0.700000,1.000000,14.589681
2.100,1309.640015,0.700000,1.000000,14.693721
2.200,1271.079956,0.700000,1.000000,14.850760
2.300,1244.229980,0.700000,1.000000,15.092021
2.400,1291.800049,0.413000,1.000000,15.254930
2.500,1453.859985,0.000000,1.000000,15.340840
2.600,1479.520020,0.000000,1.000000,15.496361
2.700,1442.520020,0.000000,1.000000,15.652121
2.800,1428.959961,0.000000,1.000000,15.754361
2.900,1391.719971,0.000000,1.000000,15.773021
3.000,1358.060059,0.000000,1.000000,15.609311
3.100,1303.520020,0.000000,1.000000,15.393881
3.200,1287.900024,0.000000,1.000000,15.219160
3.300,1276.520020,0.000000,1.000000,15.152000
3.400,1273.000000,0.406000,1.000000,15.168820
3.500,1273.000000,0.700000,1.000000,15.250031
3.600,1315.699951,1.188000,1.000000,15.404751
3.700,1380.170044,2.004000,1.000000,15.610341
3.800,1478.050049,2.820000,1.000000,15.804751
3.900,1565.199951,3.628000,1.000000,15.837621
4.000,1634.560059,3.900000,1.000000,15.604721
4.100,1707.800049,3.900000,1.000000,14.920300
4.200,1760.530029,3.900000,1.000000,14.029871
4.300,1829.939941,3.900000,1.000000,13.193491
4.400,1909.500000,4.425000,1.000000,12.686251
4.500,1970.800049,4.600000,1.000000,12.399520
4.600,2011.300049,4.600000,1.000000,12.226900
4.700,2037.400024,4.600000,1.000000,12.113400
4.800,2122.360107,4.600000,1.000000,11.973281
4.900,2172.370117,4.019000,1.000000,11.910480
5.000,2222.350098,3.900000,1.000000,11.915751
5.100,2294.379883,3.900000,1.000000,12.006741
5.200,2345.360107,3.900000,1.000000,12.071041
5.300,2396.899902,3.900000,1.000000,12.130200
5.400,2459.040039,3.900000,1.000000,12.243640
5.500,2522.590088,3.900000,1.000000,12.347860
5.600,2571.649902,3.900000,1.000000,12.382551
5.700,2577.879883,3.900000,1.000000,12.440260
5.800,2627.000000,3.900000,1.000000,12.470421
5.900,2675.000000,3.100000,1.000000,12.369000
6.000,2715.179932,3.100000,1.000000,12.299901
6.100,2771.600098,3.100000,1.000000,12.447841
6.200,2739.949951,3.100000,1.000000,12.587251
6.300,2778.330078,3.100000,1.000000,12.576081
6.400,2794.649902,3.100000,1.000000,12.623570
6.500,2784.500000,3.100000,1.000000,12.695801
6.600,2820.679932,3.100000,1.000000,12.744520
6.700,2852.199951,2.988000,1.000000,12.719001
6.800,2838.000000,2.300000,1.000000,12.721251
6.900,2851.600098,2.300000,1.000000,12.723970
7.000,2844.689941,2.300000,1.000000,12.675000
7.100,2882.850098,2.300000,1.000000,12.693480
7.200,2881.120117,2.300000,1.000000,12.788521
7.300,2913.399902,2.300000,1.000000,12.927960
7.400,2898.879883,2.300000,1.000000,13.071820
7.500,2890.000000,1.868000,1.000000,13.043781
7.600,2835.770020,0.497000,1.000000,13.079520
7.700,2730.590088,0.217000,1.000000,13.173620
7.800,2792.000000,0.476000,1.000000,13.211360
7.900,2782.820068,0.000000,1.000000,13.191300
8.000,2758.159912,0.252000,1.000000,13.350000
8.100,2720.540039,0.434000,1.000000,13.622741
8.200,2668.469971,0.000000,1.000000,13.987181
8.300,2637.649902,0.000000,1.000000,14.308130
8.400,2608.399902,0.000000,1.000000,14.640191
8.500,2571.479980,0.000000,1.000000,15.036120
8.600,2529.800049,0.000000,1.000000,15.464841
8.700,2494.520020,0.000000,1.000000,15.665721
8.800,2448.889893,0.000000,1.000000,15.764001
8.900,2405.030029,0.357000,1.000000,15.764001
9.000,2344.899902,0.329000,1.000000,15.702520
9.100,2271.300049,0.000000,1.000000,15.591901
9.200,2226.800049,0.000000,1.000000,15.644001
9.300,2182.040039,0.000000,1.000000,15.762761
9.400,2144.000000,0.000000,1.000000,15.775601
9.500,2119.530029,0.427000,1.000000,15.283931
9.600,2086.949951,0.259000,1.000000,14.747681
9.700,2066.199951,0.000000,1.000000,14.613001
9.800,2013.160034,0.462000,1.000000,14.517301
9.900,2003.640015,0.700000,1.000000,14.468000
10.000,1978.099976,1.260000,1.000000,14.468000
10.100,2006.479980,1.500000,1.000000,14.530641
10.200,2145.639893,2.084000,1.000000,14.373960
10.300,2138.500000,4.625000,1.000000,14.220001
10.400,2222.639893,7.248000,1.000000,13.887621
10.500,2274.840088,7.800000,1.000000,13.376580
10.600,2321.800049,7.800000,1.000000,13.165200
10.700,2373.000000,5.832000,1.000000,12.818920
10.800,2450.060059,2.827000,1.000000,12.567060
10.900,2481.000000,1.620000,1.000000,12.405901
11.000,2395.260010,0.804000,1.000000,12.219571
11.100,2334.479980,0.700000,1.000000,12.027801
11.200,2429.699951,0.700000,1.000000,11.913200
11.300,2386.719971,0.700000,1.000000,11.956361
11.400,2356.620117,0.042000,1.000000,12.208220
11.500,2199.199951,0.000000,1.000000,12.528001
11.600,1948.500000,4.462000,1.000000,12.756431
11.700,2845.860107,0.739000,1.000000,13.239190
11.800,2832.000000,0.000000,1.000000,14.176001
11.900,2491.300049,0.000000,1.000000,14.243180
12.000,2254.120117,0.000000,1.000000,13.952161
12.100,2099.550049,0.035000,1.000000,13.812700
12.200,2293.489990,0.700000,1.000000,13.809690
12.300,2205.560059,0.700000,1.000000,13.575991
12.400,2189.239990,0.700000,1.000000,13.410380
12.500,2171.280029,0.700000,1.000000,13.479521
12.600,2141.760010,0.700000,1.000000,13.636560
12.700,2123.679932,0.828000,1.000000,13.846880
12.800,2104.399902,1.500000,1.000000,14.005351
12.900,2131.260010,1.500000,1.000000,13.923760
13.000,2184.870117,1.668000,1.000000,14.076611
13.100,2196.260010,2.300000,1.000000,13.985121
13.200,2131.159912,2.492000,1.000000,13.756161
13.300,2214.000000,3.100000,1.000000,13.485861
