"Time","ZX_RPM","ZX_TPS","ZX_GEAR","LCC_AFR"
0.000,10873.780273,5.205000,5.000000,11.427610
0.100,10779.910156,3.796000,5.000000,12.202710
0.200,10694.839844,3.100000,5.000000,14.065451
0.300,10645.679688,3.100000,5.000000,15.020370
0.400,10496.980469,3.100000,5.000000,14.607560
0.500,10439.839844,3.100000,5.000000,14.471781
0.600,10319.780273,3.100000,5.000000,14.417260
0.700,10317.940430,2.988000,5.000000,14.490400
0.800,10150.280273,2.076000,5.000000,14.613720
0.900,10047.379883,0.700000,5.000000,14.546301
1.000,9931.200195,0.700000,5.000000,14.813200
1.100,9967.349609,4.570000,5.000000,15.667001
1.200,10297.950195,22.525000,4.850000,15.453901
1.300,10578.750000,0.000000,4.000000,12.665551
1.400,10012.000000,0.000000,4.000000,12.442000
1.500,10164.950195,0.000000,4.000000,12.562301
1.600,10180.750000,0.000000,4.000000,13.381701
1.700,9606.639648,0.112000,3.840000,14.250481
1.800,8903.679688,0.700000,3.000000,14.824601
1.900,8529.879883,0.700000,3.000000,15.264800
2.000,8599.160156,4.076000,3.000000,14.543321
2.100,8316.400391,18.312000,2.840000,14.116080
2.200,8687.040039,0.000000,2.000000,12.176281
2.300,8027.799805,0.000000,2.000000,12.152561
2.400,8051.629883,0.000000,2.000000,12.638181
2.500,8311.030273,0.000000,2.000000,13.219380
2.600,8681.419922,0.000000,2.000000,13.898701
2.700,9086.679688,0.000000,2.000000,14.376401
2.800,9390.169922,0.000000,2.000000,14.716291
2.900,9683.179688,0.000000,2.000000,15.108750
3.000,9891.839844,0.000000,2.000000,15.230421
3.100,9842.759766,0.000000,2.000000,15.128221
3.200,9626.740234,0.000000,2.000000,15.191421
3.300,9446.379883,0.000000,2.000000,15.420860
3.400,9376.940430,0.000000,2.000000,15.679501
3.500,9271.099609,0.126000,2.000000,15.835960
3.600,9201.339844,0.700000,2.000000,15.876640
3.700,9064.490234,0.700000,2.000000,15.751581
3.800,8945.940430,0.700000,2.000000,15.527881
3.900,8858.639648,0.700000,2.000000,15.299261
4.000,8692.980469,0.700000,2.000000,15.194871
4.100,8452.080078,0.700000,2.000000,15.267871
4.200,8278.190430,0.700000,2.000000,15.368610
4.300,8070.799805,0.700000,2.000000,15.581000
4.400,7858.000000,0.700000,2.000000,15.735401
4.500,7688.200195,0.700000,2.000000,15.793001
4.600,7428.799805,0.700000,2.000000,15.778601
4.700,7287.000000,0.700000,2.000000,15.715001
4.800,7142.200195,0.700000,2.000000,15.662001
4.900,7002.799805,0.700000,2.000000,15.496401
5.000,6903.479980,0.700000,2.000000,15.282670
5.100,6861.240234,0.553000,2.000000,15.172920
5.200,6718.259766,0.147000,2.000000,14.919041
5.300,6627.620117,0.700000,2.000000,14.685671
5.400,6560.330078,0.700000,2.000000,14.597341
5.500,6529.129883,0.553000,2.000000,14.479060
5.600,6473.959961,0.154000,2.000000,14.445560
5.700,6390.200195,0.700000,2.000000,14.321121
5.800,6312.299805,0.700000,2.000000,14.165081
5.900,6273.779785,0.700000,2.000000,14.169621
6.000,6223.660156,0.700000,2.000000,14.130940
6.100,6185.240234,0.700000,2.000000,14.096440
6.200,6166.240234,0.700000,2.000000,14.179300
6.300,6101.220215,0.884000,2.000000,14.241140
6.400,6016.140137,1.684000,2.000000,14.422570
6.500,5944.720215,2.484000,2.000000,14.481340
6.600,5915.390137,3.100000,2.000000,14.475631
6.700,5913.450195,3.284000,2.000000,14.105981
6.800,5942.939941,4.245000,2.000000,13.295691
6.900,6105.580078,6.113000,2.000000,12.665111
7.000,6390.919922,9.076000,2.000000,12.064920
7.100,6214.439941,11.284000,2.000000,11.913121
