"Time","ZX_RPM","ZX_TPS","ZX_GEAR","LCC_AFR"
0.000,1476.000000,0.000000,1.000000,20.718000
0.100,1357.520020,0.700000,1.000000,20.772800
0.200,1283.280029,0.672000,1.000000,20.620081
0.300,1243.380005,0.042000,1.000000,20.732880
0.400,1271.239990,0.700000,1.000000,20.966002
0.500,1350.400024,0.630000,1.000000,20.952902
0.600,1433.439941,0.000000,1.000000,20.859482
0.700,1536.500000,0.000000,1.000000,20.994061
0.800,1427.079956,0.112000,1.000000,20.736721
0.900,1408.719971,0.700000,1.000000,20.824381
1.000,1361.599976,0.700000,1.000000,20.755602
1.100,1305.959961,0.546000,1.000000,20.674002
1.200,1231.680054,0.168000,1.000000,20.726563
1.300,1203.939941,0.700000,1.000000,20.930962
1.400,1231.160034,0.700000,1.000000,20.998121
1.500,1287.199951,0.490000,1.000000,20.840502
1.600,1394.040039,0.000000,1.000000,20.685360
1.700,1500.459961,0.238000,1.000000,20.616001
1.800,1458.760010,0.700000,1.000000,20.595121
1.900,1381.099976,0.700000,1.000000,20.602081
2.000,1258.000000,0.420000,1.000000,20.691601
2.100,1095.969971,0.615000,1.000000,20.741781
2.200,984.559998,2.188000,1.000000,20.801371
2.300,1264.849976,3.460000,1.000000,20.690552
2.400,1925.079956,2.396000,1.000000,20.390862
2.500,2091.290039,0.357000,1.000000,19.630680
2.600,1656.770020,0.000000,1.000000,17.936460
2.700,1325.890015,0.371000,1.000000,16.235170
2.800,1169.250000,0.700000,1.000000,15.306051
2.900,1057.140015,0.700000,1.000000,14.892111
3.000,1058.660034,0.700000,1.000000,14.593051
3.100,1134.750000,0.700000,1.000000,14.272190
3.200,1210.619995,1.204000,1.000000,14.174721
3.300,1367.349976,3.060000,1.000000,14.276151
3.400,1601.819946,5.441000,1.000000,14.478110
3.500,1852.739990,6.200000,1.000000,14.655741
3.600,2073.129883,6.200000,1.000000,14.773420
3.700,2149.520020,6.200000,1.000000,14.100740
3.800,2111.750000,5.600000,1.000000,13.262000
3.900,1973.800049,4.784000,1.000000,13.024341
4.000,1841.410034,4.047000,1.000000,12.976241
4.100,1885.660034,3.900000,1.000000,13.179221
4.200,1950.140015,3.900000,1.000000,13.531120
4.300,1937.050049,3.900000,1.000000,13.828451
4.400,1993.900024,3.900000,1.000000,13.844770
4.500,2031.479980,3.188000,1.000000,14.048370
4.600,2024.079956,3.100000,1.000000,14.259641
4.700,2088.100098,2.356000,1.000000,14.643491
4.800,2100.600098,2.300000,1.000000,14.657701
4.900,2124.280029,1.524000,1.000000,14.741390
5.000,2035.900024,1.500000,1.000000,15.119211
5.100,2035.390015,1.500000,1.000000,15.393730
5.200,2075.860107,1.500000,1.000000,14.768201
5.300,2135.600098,1.500000,1.000000,14.620301
5.400,2132.409912,1.500000,1.000000,14.786510
5.500,2192.080078,1.500000,1.000000,15.152000
5.600,2181.439941,1.588000,1.000000,15.171250
5.700,2019.219971,2.300000,1.000000,15.332721
5.800,2109.850098,2.300000,1.000000,15.429951
5.900,2165.949951,2.300000,1.000000,15.848321
6.000,2196.520020,2.300000,1.000000,16.260000
6.100,2207.600098,2.300000,1.000000,16.181200
6.200,2228.639893,2.300000,1.000000,15.856541
6.300,2246.399902,2.300000,1.000000,15.763481
6.400,2277.159912,2.300000,1.000000,15.556021
6.500,2304.120117,2.524000,1.000000,15.485761
6.600,2350.199951,3.100000,1.000000,15.461401
6.700,2374.360107,3.356000,1.000000,15.492721
6.800,2399.179932,3.900000,1.000000,15.463140
6.900,2429.959961,3.900000,1.000000,15.444001
7.000,2473.520020,3.900000,1.000000,15.444001
7.100,2510.199951,3.900000,1.000000,15.467201
7.200,2528.020020,3.900000,1.000000,15.428501
7.300,2566.679932,3.900000,1.000000,15.294881
7.400,2621.979980,3.900000,1.000000,15.341401
7.500,2665.120117,3.900000,1.000000,15.528001
7.600,2689.000000,3.900000,1.000000,15.633501
7.700,2731.080078,3.900000,1.000000,15.761361
7.800,2712.719971,2.604000,1.000000,15.944841
7.900,2677.239990,1.948000,1.000000,16.150881
8.000,2808.340088,2.764000,1.000000,15.600541
8.100,2786.800049,3.100000,1.000000,14.843401
8.200,2787.500000,3.596000,1.000000,15.497101
8.300,2807.479980,3.900000,1.000000,16.310242
8.400,2830.939941,3.900000,1.000000,16.641682
8.500,2874.800049,3.900000,1.000000,16.676361
8.600,2886.000000,3.900000,1.000000,16.653000
8.700,2916.959961,3.900000,1.000000,16.527000
8.800,2911.979980,2.716000,1.000000,16.520922
8.900,2923.479980,1.692000,1.000000,16.403761
9.000,2861.919922,0.876000,1.000000,15.805080
9.100,2662.199951,0.700000,1.000000,15.484801
9.200,2857.260010,0.126000,1.000000,15.120921
9.300,2860.439941,0.000000,1.000000,15.319640
9.400,2787.360107,0.602000,1.000000,15.821640
9.500,2746.199951,0.084000,1.000000,15.997961
9.600,2706.899902,0.000000,1.000000,16.483601
9.700,2677.239990,0.000000,1.000000,16.871801
9.800,2628.000000,0.658000,1.000000,17.708460
9.900,2601.959961,0.700000,1.000000,18.319681
10.000,2574.540039,0.014000,1.000000,17.614861
10.100,2519.000000,0.000000,1.000000,17.119001
10.200,2487.760010,0.007000,1.000000,17.191271
10.300,2462.139893,0.700000,1.000000,17.119001
10.400,2399.449951,0.700000,1.000000,17.185301
10.500,2351.840088,0.651000,1.000000,18.456202
10.600,2356.340088,0.063000,1.000000,18.543442
10.700,2293.729980,0.700000,1.000000,17.885691
10.800,2324.850098,0.700000,1.000000,17.546961
10.900,2276.399902,0.700000,1.000000,17.148352
11.000,2267.050049,0.836000,1.000000,16.888592
11.100,2237.239990,1.500000,1.000000,16.794750
11.200,2235.679932,1.500000,1.000000,16.549049
11.300,2239.239990,1.500000,1.000000,16.017241
11.400,2235.000000,1.500000,1.000000,15.822750
11.500,2250.810059,1.500000,1.000000,16.680540
11.600,2221.389893,1.500000,1.000000,16.683081
11.700,2150.199951,1.500000,1.000000,16.561251
11.800,2175.550049,1.500000,1.000000,16.672430
11.900,2193.399902,1.500000,1.000000,16.816101
12.000,2190.399902,1.500000,1.000000,17.119001
12.100,2173.750000,1.812000,1.000000,17.164631
12.200,2148.909912,2.628000,1.000000,17.128580
12.300,2204.370117,3.444000,1.000000,17.067741
12.400,2269.500000,3.900000,1.000000,17.257702
12.500,2313.639893,3.900000,1.000000,17.214861
12.600,2346.949951,3.900000,1.000000,16.904501
12.700,2388.770020,4.257000,1.000000,16.666332
12.800,2426.909912,4.600000,1.000000,16.516251
12.900,2466.050049,4.600000,1.000000,16.354250
13.000,2517.620117,4.600000,1.000000,16.247391
