"Time","ZX_RPM","ZX_TPS","ZX_GEAR","LCC_AFR"
0.000,1117.000000,0.700000,1.000000,14.570001
0.100,927.630005,0.700000,1.000000,14.570001
0.200,792.119995,0.700000,1.000000,14.570001
0.300,802.559998,0.700000,1.000000,14.570001
0.400,966.450012,0.740000,1.000000,14.570001
0.500,1107.060059,1.500000,1.000000,14.570001
0.600,1346.680054,1.500000,1.000000,14.570001
0.700,1345.880005,1.572000,1.000000,14.570001
0.800,1377.530029,2.300000,1.000000,14.570001
0.900,1415.280029,2.300000,1.000000,14.570001
1.000,1556.819946,2.300000,1.000000,14.570001
1.100,1654.800049,2.300000,1.000000,14.570001
1.200,1654.239990,2.300000,1.000000,14.570001
1.300,1681.050049,2.300000,1.000000,14.570001
1.400,1655.420044,2.300000,1.000000,14.570001
1.500,1679.599976,2.300000,1.000000,14.570001
1.600,1726.390015,1.964000,1.000000,14.570001
1.700,1754.959961,0.700000,1.000000,14.570001
1.800,1608.439941,0.700000,1.000000,14.570001
1.900,1344.000000,0.700000,1.000000,14.570001
2.000,1342.280029,0.700000,1.000000,14.570001
2.100,1403.319946,0.504000,1.000000,14.570001
2.200,1473.069946,0.203000,1.000000,14.570001
2.300,1408.900024,0.700000,1.000000,14.570001
2.400,1410.439941,0.700000,1.000000,14.570001
2.500,1341.780029,0.700000,1.000000,14.570001
2.600,1387.359985,0.700000,1.000000,14.570001
2.700,1397.199951,0.448000,1.000000,14.570001
2.800,1379.660034,0.000000,1.000000,14.570001
2.900,1329.520020,0.266000,1.000000,14.570001
3.000,1363.199951,0.700000,1.000000,14.570001
3.100,1382.530029,0.700000,1.000000,14.570001
3.200,1354.760010,0.700000,1.000000,14.570001
3.300,1319.079956,0.700000,1.000000,14.570001
3.400,1293.500000,0.700000,1.000000,14.570001
3.500,1318.160034,0.378000,1.000000,14.570001
3.600,1330.280029,0.000000,1.000000,14.570001
3.700,1348.050049,0.343000,1.000000,14.570001
3.800,1355.000000,5.000000,1.000000,14.570001
3.900,1778.619995,4.557000,1.000000,14.570001
4.000,1816.510010,0.371000,1.000000,14.570001
4.100,1325.140015,0.700000,1.000000,14.570001
4.200,1327.199951,0.700000,1.000000,14.570001
4.300,1381.920044,0.700000,1.000000,14.570001
4.400,1412.800049,0.294000,1.000000,14.570001
4.500,1364.949951,0.413000,1.000000,14.570001
4.600,1375.280029,0.700000,1.000000,14.570001
4.700,1360.459961,0.700000,1.000000,14.570001
4.800,1431.920044,0.700000,1.000000,14.570001
4.900,1377.800049,0.700000,1.000000,14.570001
5.000,1371.400024,0.238000,1.000000,14.570001
5.100,1378.550049,0.000000,1.000000,14.570001
5.200,1436.689941,0.483000,1.000000,14.570001
5.300,1421.800049,0.700000,1.000000,14.570001
5.400,1349.459961,0.700000,1.000000,14.570001
5.500,1384.939941,0.700000,1.000000,14.570001
5.600,1295.739990,0.700000,1.000000,14.570001
5.700,1330.500000,0.700000,1.000000,14.570001
5.800,1334.209961,0.161000,1.000000,14.570001
5.900,1352.180054,0.546000,1.000000,14.570001
6.000,1294.219971,0.700000,1.000000,14.570001
6.100,1305.349976,0.700000,1.000000,14.570001
6.200,1334.140015,0.700000,1.000000,14.570001
6.300,1316.589966,10.494000,1.000000,14.570001
6.400,2401.479980,2.000000,1.000000,14.570001
6.500,1953.680054,0.602000,1.000000,14.570001
6.600,1391.989990,2.092000,1.000000,14.570001
6.700,1519.359985,3.004000,1.000000,14.570001
6.800,1595.500000,3.100000,1.000000,14.570001
6.900,1615.560059,3.828000,1.000000,14.570001
7.000,1594.920044,3.900000,1.000000,14.570001
7.100,1700.160034,3.148000,1.000000,14.570001
7.200,1787.750000,0.820000,1.000000,14.570001
7.300,1616.319946,0.700000,1.000000,14.570001
7.400,1512.959961,0.700000,1.000000,14.570001
7.500,1715.930054,0.700000,1.000000,14.570001
7.600,1597.000000,0.000000,1.000000,14.570001
7.700,1601.400024,0.700000,1.000000,14.570001
7.800,1619.109985,0.700000,1.000000,14.570001
7.900,1559.239990,0.700000,1.000000,14.570001
8.000,1585.760010,0.700000,1.000000,14.570001
8.100,1533.599976,0.700000,1.000000,14.570001
8.200,1513.160034,0.700000,1.000000,14.570001
8.300,1504.900024,0.700000,1.000000,14.570001
8.400,1619.239990,0.700000,1.000000,14.570001
8.500,1606.439941,0.796000,1.000000,14.570001
8.600,1606.079956,1.500000,1.000000,14.570001
8.700,1544.250000,1.500000,1.000000,14.570001
8.800,1578.319946,1.500000,1.000000,14.570001
8.900,1605.589966,1.500000,1.000000,14.570001
9.000,1643.579956,1.652000,1.000000,14.570001
9.100,1713.199951,2.300000,1.000000,14.570001
9.200,1744.060059,2.300000,1.000000,14.570001
9.300,1819.130005,2.300000,1.000000,14.570001
9.400,1853.319946,2.492000,1.000000,14.570001
9.500,1896.750000,3.100000,1.000000,14.570001
9.600,1953.300049,3.100000,1.000000,14.570001
9.700,2034.400024,3.100000,1.000000,14.570001
9.800,2076.320068,3.100000,1.000000,14.570001
9.900,2097.500000,3.100000,1.000000,14.570001
10.000,2129.760010,3.100000,1.000000,14.570001
10.100,2154.370117,3.100000,1.000000,14.570001
10.200,2229.050049,3.100000,1.000000,14.570001
10.300,2262.760010,3.100000,1.000000,14.570001
10.400,2293.350098,3.100000,1.000000,14.570001
10.500,2349.060059,3.100000,1.000000,14.570001
10.600,2393.199951,3.100000,1.000000,14.570001
10.700,2419.429932,3.100000,1.000000,14.570001
10.800,2448.050049,3.100000,1.000000,14.570001
10.900,2476.800049,3.100000,1.000000,14.570001
11.000,2484.399902,3.100000,1.000000,14.570001
11.100,2489.199951,3.100000,1.000000,14.570001
11.200,2511.040039,3.100000,1.000000,14.570001
11.300,2551.909912,3.100000,1.000000,14.570001
11.400,2587.500000,3.100000,1.000000,14.570001
11.500,2617.439941,3.100000,1.000000,14.570001
11.600,2658.550049,3.100000,1.000000,14.570001
11.700,2669.060059,3.532000,1.000000,14.570001
11.800,2716.080078,3.900000,1.000000,14.570001
11.900,2792.909912,4.299000,1.000000,14.570001
12.000,2820.000000,4.600000,1.000000,14.570001
12.100,2883.000000,4.600000,1.000000,14.570001
12.200,2979.899902,4.600000,1.000000,14.570001
12.300,3054.060059,4.600000,1.000000,14.570001
12.400,3137.520020,4.600000,1.000000,14.570001
12.500,3226.899902,4.145000,1.000000,14.570001
12.600,3282.739990,2.844000,1.000000,14.570001
12.700,3078.399902,1.212000,1.000000,14.570001
12.800,2668.949951,0.700000,1.000000,14.570001
12.900,2342.000000,0.700000,1.000000,14.570001
13.000,2160.199951,0.700000,1.000000,14.570001
13.100,2462.639893,0.700000,1.000000,14.570001
13.200,2910.159912,0.700000,1.000000,14.570001
13.300,2963.719971,0.700000,1.000000,14.570001
13.400,2935.760010,0.700000,1.000000,14.570001
13.500,2875.280029,0.700000,1.000000,14.570001
13.600,2837.669922,0.700000,1.000000,14.570001
13.700,2787.449951,0.700000,1.000000,14.570001
13.800,2757.320068,0.700000,1.000000,14.570001
13.900,2740.550049,0.700000,1.000000,14.570001
14.000,2635.149902,0.700000,1.000000,14.570001
14.100,2580.020020,0.700000,1.000000,14.570001
14.200,2580.959961,1.396000,1.000000,14.570001
14.300,2529.489990,1.500000,1.000000,14.570001
14.400,2558.100098,1.500000,1.000000,14.570001
14.500,2480.100098,1.500000,1.000000,14.570001
14.600,2566.860107,2.244000,1.000000,14.570001
14.700,2680.219971,2.300000,1.000000,14.570001
14.800,2556.850098,2.300000,1.000000,14.570001
14.900,2550.000000,2.300000,1.000000,14.570001
15.000,2573.520020,2.300000,1.000000,14.570001
15.100,2570.040039,2.300000,1.000000,14.570001
15.200,2558.000000,2.300000,1.000000,14.570001
15.300,2558.399902,2.300000,1.000000,14.570001
15.400,2578.000000,2.300000,1.000000,14.519271
15.500,2577.600098,2.300000,1.000000,12.877551
15.600,2570.000000,2.300000,1.000000,12.849160
15.700,2569.439941,2.300000,1.000000,12.838031
15.800,2562.719971,2.300000,1.000000,12.866261
15.900,2573.100098,2.300000,1.000000,12.880501
16.000,2603.969971,2.300000,1.000000,12.890811
16.100,2627.639893,2.300000,1.000000,12.865001
16.200,2622.199951,2.300000,1.000000,12.865001
16.300,2606.800049,2.300000,1.000000,12.860651
16.400,2626.280029,2.300000,1.000000,12.831361
16.500,2671.580078,2.300000,1.000000,12.830581
16.600,2654.479980,2.148000,1.000000,12.946171
16.700,2626.199951,1.500000,1.000000,12.949001
16.800,2525.139893,1.324000,1.000000,12.846741
16.900,2504.750000,0.700000,1.000000,12.971351
17.000,2581.320068,0.700000,1.000000,13.083000
17.100,2509.899902,0.700000,1.000000,13.124860
17.200,2473.469971,0.700000,1.000000,13.287200
17.300,2455.919922,0.700000,1.000000,13.424440
17.400,2459.399902,0.700000,1.000000,13.477000
17.500,2384.949951,0.700000,1.000000,13.490331
17.600,2360.760010,0.700000,1.000000,13.557441
17.700,2362.120117,0.700000,1.000000,13.681540
17.800,2301.350098,0.700000,1.000000,13.798800
17.900,2295.840088,0.700000,1.000000,13.856001
18.000,2272.280029,0.700000,1.000000,13.844601
18.100,2205.030029,0.700000,1.000000,13.792070
18.200,2197.399902,0.700000,1.000000,13.745001
18.300,2201.959961,0.700000,1.000000,13.772060
18.400,2159.739990,1.044000,1.000000,13.728201
18.500,2150.840088,1.500000,1.000000,13.560001
18.600,2202.600098,1.500000,1.000000,13.527700
18.700,2221.570068,1.500000,1.000000,13.758401
18.800,2219.280029,1.884000,1.000000,13.928000
18.900,2200.959961,2.300000,1.000000,13.921141
19.000,2181.070068,2.300000,1.000000,13.861980
19.100,2180.280029,2.300000,1.000000,13.789121
19.200,2201.120117,2.300000,1.000000,13.791321
19.300,2230.500000,2.300000,1.000000,13.827950
19.400,2277.080078,2.300000,1.000000,13.849401
19.500,2334.189941,2.300000,1.000000,13.856001
19.600,2376.570068,2.772000,1.000000,13.856001
19.700,2390.800049,3.100000,1.000000,13.820601
19.800,2415.350098,3.100000,1.000000,13.743931
19.900,2446.639893,2.596000,1.000000,13.673461
20.000,2474.280029,1.788000,1.000000,13.605281
20.100,2405.350098,1.500000,1.000000,13.550401
20.200,2279.250000,1.500000,1.000000,13.515571
20.300,2362.439941,1.500000,1.000000,13.506001
20.400,2367.179932,1.500000,1.000000,13.475640
20.500,2412.580078,0.932000,1.000000,13.275981
20.600,2381.959961,0.700000,1.000000,13.179121
20.700,2321.770020,0.700000,1.000000,13.181220
20.800,2278.750000,0.700000,1.000000,13.119751
20.900,2295.600098,0.700000,1.000000,13.131440
21.000,2223.149902,0.700000,1.000000,13.242870
21.100,2195.879883,0.700000,1.000000,13.363481
21.200,2204.600098,0.700000,1.000000,13.482600
21.300,2114.659912,0.700000,1.000000,13.671241
21.400,2147.939941,0.700000,1.000000,13.757561
21.500,2087.760010,0.700000,1.000000,13.866281
21.600,2034.050049,0.700000,1.000000,13.947051
21.700,2043.339966,0.700000,1.000000,14.032821
21.800,2049.520020,0.700000,1.000000,13.968441
21.900,1956.550049,0.700000,1.000000,13.931300
22.000,2008.000000,0.700000,1.000000,13.810101
22.100,1922.079956,1.436000,1.000000,13.649801
22.200,1946.550049,1.500000,1.000000,13.840671
22.300,2018.560059,1.500000,1.000000,13.965041
22.400,2064.280029,1.500000,1.000000,13.972001
22.500,1963.180054,1.500000,1.000000,14.156301
22.600,1987.439941,1.500000,1.000000,14.218841
22.700,1984.000000,1.500000,1.000000,14.147000
22.800,1996.109985,1.500000,1.000000,13.971131
22.900,2007.640015,1.500000,1.000000,13.882660
23.000,2037.880005,1.500000,1.000000,13.765080
23.100,2012.750000,1.500000,1.000000,13.690651
23.200,2047.199951,1.500000,1.000000,13.606260
23.300,2068.479980,1.500000,1.000000,13.575480
23.400,2101.229980,1.572000,1.000000,13.533650
23.500,2144.000000,2.220000,1.000000,13.518600
23.600,2146.530029,1.588000,1.000000,13.509191
23.700,2166.610107,2.300000,1.000000,13.540721
23.800,2161.760010,2.300000,1.000000,13.576900
23.900,2155.050049,2.180000,1.000000,13.564001
24.000,2197.550049,1.500000,1.000000,13.586271
24.100,2209.459961,1.500000,1.000000,13.684561
24.200,2214.409912,1.652000,1.000000,13.650871
24.300,2245.159912,1.964000,1.000000,13.712941
24.400,2187.000000,0.700000,1.000000,13.733681
24.500,1937.949951,0.700000,1.000000,13.768001
24.600,1807.000000,2.075000,1.000000,13.775250
24.700,2104.159912,4.770000,1.000000,13.797001
24.800,2413.379883,0.700000,1.000000,13.812931
24.900,2044.500000,0.700000,1.000000,13.856001
25.000,1804.900024,0.700000,1.000000,13.873401
25.100,1653.800049,0.700000,1.000000,13.914001
25.200,1744.609985,0.700000,1.000000,13.923571
25.300,1995.420044,0.700000,1.000000,13.957961
25.400,2061.600098,0.980000,1.000000,14.043000
25.500,2092.250000,1.796000,1.000000,14.082251
25.600,2159.219971,2.604000,1.000000,13.966681
25.700,2121.669922,3.412000,1.000000,13.929531
25.800,2124.979980,3.900000,1.000000,13.777170
25.900,2210.479980,4.194000,1.000000,13.530440
26.000,2283.489990,4.600000,1.000000,13.485271
26.100,2333.959961,4.600000,1.000000,13.695520
26.200,2406.560059,4.600000,1.000000,13.832900
26.300,2487.780029,4.600000,1.000000,13.806690
26.400,2541.879883,4.600000,1.000000,13.726241
26.500,2583.500000,4.600000,1.000000,13.586000
26.600,2628.889893,4.600000,1.000000,13.424191
26.700,2721.320068,4.600000,1.000000,13.329841
26.800,2837.060059,5.032000,1.000000,13.293900
26.900,2891.199951,5.400000,1.000000,13.271050
27.000,2954.639893,5.400000,1.000000,13.290481
27.100,3034.280029,5.400000,1.000000,13.400681
27.200,3131.030029,5.400000,1.000000,13.487961
27.300,3249.199951,5.400000,1.000000,13.506001
27.400,3313.360107,5.400000,1.000000,13.623180
27.500,3356.129883,4.896000,1.000000,13.740991
27.600,3467.159912,4.600000,1.000000,13.861441
27.700,3550.020020,4.600000,1.000000,13.943041
27.800,3615.580078,4.600000,1.000000,13.977430
27.900,3631.840088,3.580000,1.000000,13.937361
28.000,3448.100098,1.420000,1.000000,13.923800
28.100,2985.469971,0.700000,1.710000,13.928000
28.200,2591.840088,0.700000,2.000000,13.938801
28.300,2312.040039,0.700000,2.000000,13.921540
28.400,2052.500000,0.175000,2.000000,13.947001
28.500,2201.560059,0.532000,2.000000,14.245280
28.600,2627.050049,0.161000,2.000000,14.885781
28.700,2700.030029,0.553000,2.000000,15.245920
28.800,2669.399902,0.700000,2.000000,14.948400
28.900,2638.080078,0.700000,2.000000,14.648781
29.000,2587.179932,0.700000,2.000000,14.562480
29.100,2541.879883,0.112000,2.000000,14.542400
29.200,2557.949951,0.595000,2.000000,14.590151
29.300,2541.989990,0.700000,2.000000,14.661640
29.400,2504.679932,0.700000,2.000000,14.671000
29.500,2461.729980,0.700000,2.000000,14.710161
29.600,2403.310059,0.700000,2.000000,14.795080
29.700,2415.479980,0.700000,2.000000,14.923521
29.800,2340.739990,0.700000,2.000000,14.934001
29.900,2354.000000,0.700000,2.000000,14.767751
30.000,2332.919922,0.700000,2.000000,14.674520
30.100,2304.840088,0.700000,2.000000,14.586611
30.200,2253.510010,0.700000,2.000000,14.540441
30.300,2257.000000,0.000000,2.000000,14.526001
30.400,2280.409912,0.700000,2.000000,14.438001
30.500,2220.139893,0.700000,2.000000,14.439321
30.600,2159.679932,0.700000,2.000000,14.482000
30.700,2148.500000,0.700000,2.000000,14.481300
30.800,2081.159912,0.700000,2.000000,14.465900
30.900,2063.439941,0.700000,2.000000,14.436881
31.000,1986.560059,0.700000,2.000000,14.422650
31.100,1969.300049,0.700000,2.000000,14.406100
31.200,1937.920044,0.700000,2.000000,14.385281
31.300,1880.930054,0.609000,2.000000,14.444800
31.400,1838.880005,0.098000,2.000000,14.590160
31.500,1785.800049,0.700000,2.000000,14.611680
31.600,1760.329956,0.700000,2.000000,14.506111
31.700,1710.260010,0.700000,2.000000,14.385421
31.800,1669.599976,0.560000,2.000000,14.263401
31.900,1638.969971,0.147000,2.000000,14.195971
